epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.075,0.61186,2.54024,1.23237,0.00322,0.9881,0.5525,0.4228,0.5008,3.31293,1.24325,0.00028339,0.00028339,0.00028339
2,195.503,0.49539,1.49564,1.14191,0.69736,0.46429,0.66758,0.40827,1.01163,2.76475,1.89141,0.000535315,0.000535315,0.000535315
3,289.429,0.5712,2.02973,1.28652,0.4536,0.75279,0.71666,0.54785,0.78174,3.03454,1.72505,0.000737731,0.000737731,0.000737731
4,382.356,0.52689,1.78954,1.27876,0.8044,0.87794,0.9485,0.77878,0.77053,2.21965,1.52239,0.000890636,0.000890636,0.000890636
5,474.421,0.50718,1.55327,1.23972,0.7436,0.75,0.75436,0.59763,0.81275,2.15261,1.76266,0.000994032,0.000994032,0.000994032
6,566.143,0.49366,1.40881,1.21843,0.77864,0.88666,0.96291,0.77368,0.64373,1.84104,1.50396,0.000979362,0.000979362,0.000979362
7,657.586,0.44936,1.27884,1.17864,0.54791,0.7376,0.77222,0.59474,0.67635,2.16956,1.41382,0.000841835,0.000841835,0.000841835
8,748.81,0.41723,1.14558,1.15337,0.9535,0.98689,0.99245,0.85026,0.62738,1.37967,1.38148,0.000704307,0.000704307,0.000704307
9,840.047,0.37439,1.11103,1.09885,0.99822,0.98527,0.99308,0.85032,0.65086,1.22081,1.45568,0.00056678,0.00056678,0.00056678
10,931.863,0.33877,1.02727,1.05931,0.98214,1,0.99477,0.86395,0.52353,1.11563,1.20426,0.000429253,0.000429253,0.000429253
11,1062.16,0.30936,0.91805,1.04114,0.96721,1,0.99431,0.89204,0.48337,1.10769,1.12559,0.000291725,0.000291725,0.000291725
12,1256.07,0.29145,0.89536,1.0236,0.98176,1,0.99477,0.91595,0.42441,1.00487,1.08383,0.000154198,0.000154198,0.000154198
